"Source"	"Target"	"Loss"
"17919"	"12385"	"V1"
"18013"	"12444"	"T1"
"18724"	"12444"	"D1"
"20676"	"12444"	"R1"
"23251"	"12444"	"L2"
"24077"	"12444"	"K2"
"12506"	"12503"	""
"12509"	"12506"	""
"17919"	"12509"	"P1"
"18695"	"12509"	"L1"
"21991"	"12509"	"W1"
"12550"	"12547"	""
"19461"	"12550"	"K1"
"22101"	"12721"	"G1K1"
"23348"	"12721"	"K1P1"
"24756"	"12721"	"F1K1"
"12972"	"12971"	""
"19824"	"12972"	"K1"
"12984"	"12982"	""
"12984"	"12983"	""
"16949"	"12984"	"A1"
"20676"	"12984"	"F1"
"22746"	"12984"	"V2"
"18779"	"13149"	"C1"
"13231"	"13229"	""
"13232"	"13231"	""
"13234"	"13232"	""
"13237"	"13234"	""
"20098"	"13234"	"K1"
"13239"	"13237"	""
"18695"	"13239"	"V1"
"19397"	"13239"	"L1"
"19452"	"13272"	"G2"
"18726"	"13273"	"V1"
"18821"	"13273"	"T1"
"20304"	"13273"	"M1"
"13349"	"13347"	""
"13350"	"13349"	""
"13351"	"13350"	""
"13364"	"13359"	""
"18695"	"13364"	"P1"
"22589"	"13364"	"W1"
"18736"	"13418"	"P1"
"18736"	"13420"	"P1"
"13432"	"13428"	""
"13432"	"13431"	""
"16626"	"13432"	"G1"
"16629"	"13432"	"G1"
"17381"	"13432"	"A1"
"18260"	"13432"	"S1"
"18857"	"13432"	"V1"
"21803"	"13432"	"Y1"
"13437"	"13436"	""
"13439"	"13437"	""
"13441"	"13439"	""
"13442"	"13439"	""
"18745"	"13441"	"P1"
"22633"	"13441"	"W1"
"18745"	"13442"	"P1"
"22633"	"13442"	"W1"
"19699"	"13622"	"L1"
"20549"	"13622"	"M1"
"21890"	"13622"	"Y1"
"13930"	"13928"	""
"13931"	"13930"	""
"19397"	"13930"	"V1"
"20751"	"13931"	"E1"
"23283"	"13931"	"V2"
"14083"	"14082"	""
"21681"	"14082"	"F1"
"14084"	"14083"	""
"14087"	"14084"	""
"19397"	"14087"	"P1"
"21222"	"14087"	"H1"
"23688"	"14183"	"L1P1"
"19461"	"14250"	"P1"
"19461"	"14253"	"P1"
"22101"	"14253"	"R1"
"14273"	"14269"	""
"14275"	"14273"	""
"14277"	"14273"	""
"19699"	"14275"	"T1"
"14525"	"14524"	""
"22253"	"14525"	"R1"
"20549"	"14606"	"L1"
"17794"	"14607"	"G1"
"21325"	"14750"	"E1"
"14836"	"14834"	""
"18744"	"14836"	"A1"
"18745"	"14836"	"A1"
"23688"	"14836"	"V2"
"14862"	"14861"	""
"20250"	"14862"	"T1"
"20751"	"14862"	"L1"
"18787"	"14871"	"A1"
"14883"	"14882"	""
"14885"	"14883"	""
"14886"	"14885"	""
"23413"	"14885"	"W1"
"21835"	"14886"	"H1"
"22496"	"14886"	"R1"
"26321"	"14886"	"E1Y1"
"14923"	"14922"	""
"14925"	"14923"	""
"14962"	"14955"	""
"20084"	"14956"	"P1"
"22253"	"14956"	"F1"
"20084"	"14962"	"P1"
"22253"	"14962"	"F1"
"14979"	"14976"	""
"14985"	"14977"	""
"14980"	"14979"	""
"14981"	"14980"	""
"14985"	"14981"	""
"20098"	"14981"	"P1"
"23688"	"14985"	"P1V1"
"18157"	"15035"	"G1"
"21544"	"15035"	"K1"
"18243"	"15138"	"G1"
"18975"	"15138"	"A1"
"18242"	"15139"	"G1"
"18975"	"15139"	"A1"
"20957"	"15139"	"L1"
"24566"	"15139"	"K1P1"
"15154"	"15152"	""
"15156"	"15154"	""
"15159"	"15156"	""
"15229"	"15228"	""
"15230"	"15228"	""
"20250"	"15228"	"P1"
"20571"	"15383"	"T1"
"15630"	"15624"	""
"18736"	"15630"	"G1"
"15720"	"15715"	""
"22746"	"15720"	"F1"
"15735"	"15732"	""
"15738"	"15735"	""
"15739"	"15738"	""
"15780"	"15778"	""
"15783"	"15780"	""
"20751"	"15780"	"P1"
"15785"	"15783"	""
"15786"	"15783"	""
"15787"	"15783"	""
"23197"	"15785"	"Y1"
"15788"	"15786"	""
"23196"	"15788"	"Y1"
"18922"	"15812"	"G1"
"20759"	"15812"	"P1"
"22111"	"15812"	"K1"
"24756"	"15812"	"A1F1"
"20511"	"16030"	"S1"
"16090"	"16089"	""
"16093"	"16090"	""
"21222"	"16298"	"V1"
"21835"	"16298"	"L1"
"20082"	"16461"	"A1"
"20084"	"16461"	"A1"
"19461"	"16505"	"G1"
"23348"	"16505"	"R1"
"16585"	"16584"	""
"24496"	"16626"	"P1V1"
"21356"	"16629"	"P1"
"22633"	"16694"	"K1"
"22633"	"16696"	"K1"
"16873"	"16872"	""
"16885"	"16884"	""
"16887"	"16884"	""
"16898"	"16897"	""
"16950"	"16949"	""
"19819"	"16950"	"G1"
"22253"	"16950"	"L1"
"24756"	"16950"	"A1K1"
"19824"	"16959"	"G1"
"17015"	"17010"	""
"17117"	"17116"	""
"21890"	"17117"	"T1"
"17191"	"17188"	""
"20142"	"17268"	"G1"
"20161"	"17278"	"G1"
"20759"	"17278"	"A1"
"24566"	"17278"	"W1"
"17337"	"17335"	""
"17338"	"17337"	""
"17342"	"17338"	""
"17344"	"17342"	""
"17343"	"17344"	""
"22496"	"17343"	"L1"
"21991"	"17445"	"P1"
"22589"	"17445"	"L1"
"17682"	"17681"	""
"17724"	"17722"	""
"17724"	"17723"	""
"17728"	"17725"	""
"17736"	"17735"	""
"23196"	"17736"	"E1"
"18242"	"18241"	""
"18243"	"18242"	""
"18528"	"18524"	""
"18528"	"18527"	""
"18531"	"18528"	""
"23196"	"18531"	"L1"
"21281"	"18659"	"G1"
"18704"	"18695"	""
"23688"	"18695"	"K1"
"23283"	"18704"	"L1"
"24496"	"18736"	"R1"
"18750"	"18744"	""
"18747"	"18745"	""
"18750"	"18747"	""
"18751"	"18750"	""
"24496"	"18857"	"G1P1"
"21544"	"18922"	"G1"
"22101"	"18922"	"A1"
"18975"	"18971"	""
"24756"	"19172"	"R1"
"19262"	"19261"	""
"23283"	"19397"	"V1"
"19825"	"19824"	""
"19826"	"19825"	""
"23348"	"20759"	"A1"
"20959"	"20957"	""
"25378"	"21325"	"M1"
"23197"	"23196"	""
"26321"	"23197"	"L1"
"23285"	"23283"	""
"26205"	"26203"	""
"26907"	"26906"	""
