"ID"	"MN"	"H"	"C"	"O"	"N"	"S"	"P"	"Na"	"ME"	"Scores"	"NBP"	"Peptide"	"KEGG"
"12740"	"433.016731"	"16"	"14"	"7"	"3"	"2"	"1"	"0"	"434.0240491"	"-1.990682564"	"0"	"No Peptide Found"	"Non metabolites found"
"12741"	"433.019235"	"16"	"10"	"12"	"3"	"1"	"1"	"0"	"434.0265648"	"-1.558469437"	"0"	"No Peptide Found"	"Non metabolites found"
"12742"	"433.030468"	"16"	"9"	"11"	"5"	"1"	"1"	"0"	"434.0376122"	"1.715156682"	"0"	"No Peptide Found"	"Non metabolites found"
"12743"	"433.053116"	"20"	"15"	"6"	"3"	"2"	"1"	"0"	"434.0605518"	"-0.560956654"	"0"	"No Peptide Found"	"Non metabolites found"
"12744"	"433.05562"	"20"	"11"	"11"	"3"	"1"	"1"	"0"	"434.0630738"	"-0.684277501"	"0"	"No Peptide Found"	"Non metabolites found"
"12746"	"433.06772"	"24"	"11"	"5"	"5"	"3"	"1"	"0"	"434.074815"	"-0.031504725"	"0"	"No Peptide Found"	"Non metabolites found"
"12747"	"433.083762"	"25"	"12"	"8"	"3"	"1"	"2"	"0"	"434.0913642"	"1.030822015"	"0"	"No Peptide Found"	"Non metabolites found"
"12748"	"433.090351"	"19"	"14"	"9"	"5"	"1"	"0"	"0"	"434.0975289"	"-0.446912424"	"0"	"No Peptide Found"	"Non metabolites found"
"12749"	"433.09908"	"19"	"17"	"3"	"7"	"2"	"0"	"0"	"434.106478"	"0.555238219"	"0"	"No Peptide Found"	"Non metabolites found"
"12750"	"433.105606"	"19"	"18"	"6"	"5"	"1"	"0"	"0"	"434.112755"	"-0.504266964"	"0"	"No Peptide Found"	"Non metabolites found"
"12751"	"433.10726"	"24"	"16"	"7"	"3"	"1"	"1"	"0"	"434.1147511"	"0.130162415"	"0"	"No Peptide Found"	"Non metabolites found"
"12752"	"433.108977"	"23"	"15"	"6"	"5"	"2"	"0"	"0"	"434.1164875"	"0.693253112"	"0"	"No Peptide Found"	"Non metabolites found"
"12753"	"433.110313"	"19"	"16"	"2"	"9"	"2"	"0"	"0"	"434.117703"	"-0.273400411"	"0"	"No Peptide Found"	"Non metabolites found"
"14276"	"433.11032"	"24"	"17"	"7"	"2"	"2"	"0"	"1"	"456.0997489"	"0.06774429"	"0"	"No Peptide Found"	"Non metabolites found"
