"ID"	"Mass"	"Intensity.C1"	"Intensity.C2"	"Intensity.C3"	"Intensity.C4"	"Intensity.C5"	"Intensity.C6"	"Intensity.E15_1"	"Intensity.E15_2"	"Intensity.E15_3"	"Intensity.E15_4"	"Intensity.N1"	"Intensity.N2"	"Intensity.N3"	"Intensity.N4"	"Intensity.pY_C4"	"Intensity.pY_C5"	"Intensity.pY_C6"	"Intensity.pY_E5_1"	"Intensity.pY_E5_2"	"Intensity.pY_E5_3"	"Intensity.pY_E5_4"	"Intensity.pY_N1"	"Intensity.pY_N2"	"Intensity.pY_N3"	"Intensity.pY_N4"	"Intensity.pY_PV1"	"Intensity.pY_PV2"	"Intensity.pY_PV3"	"Intensity.pY_PV4"
65009	939.55419	"257970000"	"110000000"	"25256000"	"0"	"122410000"	"0"	"49789000"	82160000	34662000	0	"110040000"	"79205000"	"115920000"	43075000	"0"	"122410000"	"0"	63792000	121520000	104410000	"0"	"110040000"	"79205000"	"115920000"	43075000	"166510000"	"183470000"	68517000	92767000
128433	886.51238	"0"	"0"	"0"	"0"	"0"	"0"	"51517000"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
117521	945.52837	"403360000"	"452600000"	"219530000"	"225920000"	"223700000"	"441470000"	"205730000"	299950000	0	175160000	"0"	"0"	"0"	0	"225920000"	"223700000"	"441470000"	158600000	169250000	128720000	"0"	"0"	"0"	"0"	0	"0"	"0"	108130000	126910000
98683	881.43955	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"257330000"	"191440000"	"113090000"	0	"0"	"0"	"0"	0	0	0	"0"	"257330000"	"191440000"	"113090000"	0	"0"	"0"	0	0
143957	876.43815	"32433000"	"21530000"	"16521000"	"14539000"	"31370000"	"0"	"0"	0	14082000	0	"61087000"	"42756000"	"135980000"	0	"14539000"	"31370000"	"0"	0	0	9543700	"15241000"	"37503000"	"42756000"	"135980000"	0	"86906000"	"82178000"	0	13117000
115370	822.41233	"597180"	"0"	"4125900"	"3541800"	"5440700"	"4497700"	"23705000"	8311800	0	22841000	"0"	"0"	"0"	0	"1591200"	"1804800"	"4497700"	0	0	3997700	"12745000"	"0"	"0"	"0"	0	"18845000"	"9437900"	3776500	8921700
11856	907.4552	"0"	"0"	"0"	"48073000"	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	20898000	"48073000"	"0"	"0"	0	27993000	0	"0"	"0"	"0"	"0"	20898000	"0"	"0"	0	0
99738	904.5382	"0"	"0"	"124000000"	"68916000"	"95804000"	"49632000"	"84958000"	66176000	90332000	22264000	"0"	"0"	"0"	48986000	"68916000"	"95804000"	"49632000"	0	69051000	0	"95033000"	"0"	"0"	"0"	48986000	"36315000"	"48420000"	67093000	0
61893	875.4964	"0"	"1184000000"	"0"	"0"	"0"	"35993000"	"1379400000"	640630000	0	0	"124740000"	"157910000"	"969800000"	0	"0"	"778470000"	"35993000"	796900000	0	1236300000	"1354000000"	"124740000"	"157910000"	"969800000"	0	"1496100000"	"1933100000"	44574000	1697600000
82905	780.38401	"418810000"	"465860000"	"849190000"	"598170000"	"365170000"	"171810000"	"423010000"	499350000	432840000	542130000	"0"	"185550000"	"173760000"	98261000	"598170000"	"365170000"	"171810000"	370330000	0	426530000	"1226200000"	"0"	"185550000"	"173760000"	98261000	"0"	"0"	468370000	425540000
45872	837.38685	"0"	"0"	"0"	"0"	"0"	"0"	"5474900"	5718700	27540000	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
90575	842.4974	"279760000"	"210700000"	"223260000"	"271460000"	"0"	"0"	"449860000"	454220000	215530000	0	"194830000"	"101020000"	"0"	0	"271460000"	"0"	"0"	501810000	242700000	208560000	"0"	"194830000"	"0"	"0"	0	"532980000"	"0"	0	0
