ID	Mass	x11_06_2016_QC_GA2_01_484_csv	x11_06_2016_QC_GA2_01_485_csv	x11_06_2016_QC_GA2_01_490_csv	x11_06_2016_QC_GA2_01_491_csv	x11_06_2016_QC_GA2_01_492_csv	x11_06_2016_QC_GA2_01_493_csv	x11_06_2016_QC_GA2_01_494_csv	x11_06_2016_QC_GA2_01_500_csv	x11_06_2016_QC_GA2_01_512_csv	x11_06_2016_QC_GA2_01_518_csv
477	240.136401777778	724687	621471	897634.1	783107	808533.6	0	691809.8	907468	697191.7	774934
478	240.147664	3292545	3340632	3161158.6	3276671	3235442	3227834	3232576.9	3018106	2963720.4	3505839
479	241.179199	456711	486746	476860.1	480855	484407.8	472426	479347.9	0	0	497040
480	242.040304	0	0	0	222720	198662.6	0	193816.7	0	172722.4	158681
481	242.040174	0	0	0	0	263031.5	0	0	0	0	219700
482	242.036424	0	278044	0	0	0	0	0	0	0	0
483	242.040324	1878704	1425805	0	5563638	5718761.5	0	0	0	0	5581989
484	242.040524	0	0	0	0	0	0	242045.4	0	0	0
485	242.040624	0	0	0	0	0	0	144744	149962	0	0
486	242.040624	0	0	3810107.3	0	0	5636224	5706841.5	5840591	5774306	0
487	242.076949	0	0	91556.5	132609	154246.4	128410	146829.5	133908	158697.2	159339
488	242.076904	288701	251894	492166.1	707990	734368.4	735912	727109.1	750260	699574.4	695989
489	242.162924	79526	0	0	0	0	0	0	0	0	0
490	242.163252571429	228467	201051	223330.8	0	222908.7	0	195853.4	219723	202497.4	0
491	244.035064	273223	279555	308964.4	299020	297883.6	293659	302497.1	291888	287024	284559
492	244.051399	127117	0	0	0	0	0	141549.9	177945	0	133608
493	244.056324	0	0	0	110162	0	116803	120393.5	111835	0	127582
494	244.070024	328538	0	0	0	0	0	0	0	0	0
495	244.178954	1284796	1319355	1265836.5	1264824	1255558.3	1297684	1269069.4	1308148	1314149.5	1345311
496	244.178904	4710607	4852719	4509696	4628222	4850706	4623065	4692545	4982966	4833333	5041376
497	244.178974	3265424	3313443	3205408.3	3185286	3244199.3	3241236	3197064.8	3234656	3256505	3290655
498	244.178864	619481	628849	621201.4	611587	626610.5	624679	628770.8	628693	625067.4	608660
499	244.990824	0	0	0	0	0	0	0	0	0	190644
500	245.137757333333	294833	0	0	0	0	0	279168.2	0	0	269362
501	245.174057333333	0	0	0	0	0	0	137350.7	0	132912.7	150870
502	246.040424	0	0	0	0	0	0	0	0	0	38861
503	246.050746222222	998813	1025949	1122216.4	1139265	1076524.9	1102397	1097624.9	1136277	0	877173
504	246.050840666667	260920	311091	0	0	0	250223	268372.3	274960	279892.9	0
505	246.100552571429	529011	0	546702.4	0	562676.4	532986	0	439503	598832.1	458737
506	246.121815666667	874718	1089114	868605.7	1122888	854841.7	812869	801565.8	845692	841000.5	763010
507	246.121779555556	326275	328262	341664.5	333381	324903.8	0	314016.8	323004	335621.9	305045
508	246.121734	442042	490427	450188.5	414892	409501.1	436275	414904.2	411359	452976.9	401083
509	246.158195428571	409778	397347	0	411249	419562.6	382166	0	0	428179.3	444627
510	246.158154	307332	350925	329927.3	338095	338497.4	349097	368001	360588	376114.9	366485
511	247.142324	0	156702	0	0	0	0	0	166554	0	166413
512	248.030674	468996	467006	0	0	0	0	0	0	0	0
513	248.089324	0	0	542705.9	0	0	0	0	0	0	0
514	248.119124	0	79076	0	0	0	0	0	0	0	0
515	248.141624	0	0	0	0	0	388761	0	0	240522	0
516	250.093124	49480	0	0	0	0	0	0	0	0	0
517	251.065599	0	0	0	0	201419.4	197878	0	0	212477	218355
518	251.940624	110535	0	104926	0	0	0	0	0	0	0
519	252.075824	95937	0	0	0	0	0	0	0	0	0
520	254.099824	0	0	368621.3	0	0	0	0	0	0	442396
521	254.151924	0	0	0	0	0	0	0	0	383414.7	143226
522	256.131224	0	0	0	0	0	0	154928.6	0	0	0
523	256.178854	446483	469597	468853.8	453750	465556.9	462845	423411.9	475336	467779	482542
