ID	MN	H	C	O	N	S	P	Na	ME	Biomarker
8091	373.148517	23	15	8	3	0	0	0	374.156215	0
8092	373.152539	23	20	6	1	0	0	0	374.1601487	0
8093	373.158414	27	13	11	1	0	0	0	374.1660462	0
8094	373.165426	28	17	6	1	0	1	0	374.173096	0
8095	373.173669	27	17	8	1	0	0	0	374.1812113	0
9746	373.18309	32	14	5	2	2	0	1	396.1726236	0
8096	373.184902	27	16	7	3	0	0	0	374.1924323	0
8097	373.196135	27	15	6	5	0	0	0	374.2036567	0
8099	373.207368	27	14	5	7	0	0	0	374.2149185	0
8100	373.210054	31	18	7	1	0	0	0	374.2176042	0
8102	373.221287	31	17	6	3	0	0	0	374.2288724	1
8103	373.23252	31	16	5	5	0	0	0	374.240148	0
8105	373.240564	31	26	1	1	0	0	0	374.248262	0
8107	373.246439	35	19	6	1	0	0	0	374.2541068	0
8109	373.257672	35	18	5	3	0	0	0	374.2652887	1
8110	373.268905	35	17	4	5	0	0	0	374.2764808	0
8112	373.276949	35	27	0	1	0	0	0	374.284524	1
8113	373.282824	39	20	5	1	0	0	0	374.290347	0
8119	373.908501	8	8	9	0	2	2	0	374.9164695	0
8120	373.918461	6	7	10	2	3	0	0	374.9260117	0
9766	373.94433	10	4	13	1	0	3	1	396.9339036	0
8121	373.956969	7	6	11	4	1	1	0	374.963954	0
9770	373.971199	13	5	12	1	1	2	1	396.9606544	0
9771	373.980715	14	5	12	1	0	3	1	396.9702842	0
11569	373.985111	10	7	8	4	1	2	2	418.9564942	0
8127	373.993354	11	7	10	4	1	1	0	375.00046	0
8129	374.010263	16	9	8	2	1	2	0	375.0178038	0
8130	374.020874	10	16	7	2	1	0	0	375.028166	0
8131	374.022528	15	14	8	0	1	1	0	375.0303395	0
8132	374.029739	15	8	9	4	1	1	0	375.0367743	0
8133	374.031456	14	7	8	6	2	0	0	375.0387361	0
8134	374.037132	19	10	7	2	2	1	0	375.04451	0
8135	374.043658	19	11	10	0	1	1	0	375.05132	0
8136	374.046711	14	11	5	6	2	0	0	375.0540118	0
8137	374.054104	18	13	3	4	3	0	0	375.0611429	0
8139	374.061417	19	11	12	0	0	1	0	375.0690296	0
8140	374.063134	18	10	11	2	1	0	0	375.0703812	0
8141	374.063785	14	18	9	0	0	0	0	375.0711175	0
9779	374.067467	20	11	9	1	1	1	1	397.0570842	0
8142	374.070146	19	14	6	2	1	1	0	375.0774026	0
8143	374.071863	18	13	5	4	2	0	0	375.079315	0
9780	374.073206	19	15	6	1	2	0	1	397.0624914	0
8144	374.076672	19	15	9	0	0	1	0	375.0843876	0
8145	374.080043	23	12	9	0	1	1	0	375.087843	0
9787	374.083572	15	13	10	3	0	0	1	397.0729769	0
8146	374.087905	19	14	8	2	0	1	0	375.0955845	0
8147	374.098351	18	16	1	6	2	0	0	375.1055242	0
8148	374.099519	22	11	10	2	1	0	0	375.10713	0
8149	374.100855	18	12	6	6	1	0	0	375.1079996	0
8150	374.106531	23	15	5	2	1	1	0	375.1139389	0
8151	374.109035	23	11	10	2	0	1	0	375.116765	0
9801	374.112095	23	12	10	1	1	0	1	397.1011716	0
8152	374.118145	26	12	7	2	2	0	0	375.1255115	0
8153	374.120268	23	10	9	4	0	1	0	375.1280062	0
8154	374.134187	27	13	10	0	0	1	0	375.1418793	0
9811	374.140237	28	13	7	1	1	1	1	397.1299052	0
8155	374.142916	27	16	4	2	1	1	0	375.1501974	0
8156	374.143766	22	14	8	4	0	0	0	375.151405	0
8157	374.149442	27	17	7	0	0	1	0	375.1570538	0
8159	374.155866	26	14	2	6	2	0	0	375.1634715	0
8160	374.162392	26	15	5	4	1	0	0	375.1699934	1
8161	374.168918	26	16	8	2	0	0	0	375.1764091	0
8162	374.170572	31	14	9	0	0	1	0	375.1782007	0
8163	374.180151	26	15	7	4	0	0	0	375.1877009	0
8164	374.185827	31	18	6	0	0	1	0	375.1935091	0
8165	374.191384	26	14	6	6	0	0	0	375.1990716	1
8166	374.195406	26	19	4	4	0	0	0	375.2030431	1
8167	374.198777	30	16	4	4	1	0	0	375.20625	0
8170	374.214032	30	20	1	4	1	0	0	375.2210256	0
8172	374.216536	30	16	6	4	0	0	0	375.2241778	1
8175	374.227769	30	15	5	6	0	0	0	375.2353553	1
9835	374.240345	31	16	5	5	0	0	1	397.2296616	1
8177	374.252921	34	17	5	4	0	0	0	375.2604127	0
8178	374.260965	34	27	1	0	0	0	0	375.2686	0
8179	374.26684	38	20	6	0	0	0	0	375.2743884	0
8182	374.987816	9	9	4	7	3	0	0	375.9952189	0
8183	375.011251	14	12	5	3	2	1	0	376.0185705	0
8184	375.013755	14	8	10	3	1	1	0	376.0210952	0
9847	375.035847	16	9	10	2	0	2	1	398.0254173	0
8185	375.047636	18	13	4	3	2	1	0	376.0550962	0
8186	375.061373	18	8	8	5	1	1	0	376.0690609	0
8187	375.065395	18	13	6	3	1	1	0	376.0724682	0
8188	375.071921	18	14	9	1	0	1	0	376.0796596	0
8189	375.084871	17	12	7	5	1	0	0	376.0919367	0
8190	375.086525	22	10	8	3	1	1	0	376.094378	1
8191	375.093051	22	11	11	1	0	1	0	376.1007629	0
8192	375.094768	21	10	10	3	1	0	0	376.1020371	0
9857	375.099101	23	11	8	2	1	1	1	398.088767	0
9858	375.100818	22	10	7	4	2	0	1	398.09031	0
8193	375.10178	22	14	5	3	1	1	0	376.1091724	0
8194	375.104284	22	10	10	3	0	1	0	376.1115267	0
8195	375.114045	21	19	5	1	1	0	0	376.1215753	0
8196	375.119539	22	14	7	3	0	1	0	376.1271629	0
8197	375.123561	22	19	5	1	0	1	0	376.13123	0
8198	375.129985	21	16	0	7	2	0	0	376.1371875	0
8199	375.138165	26	15	4	3	1	1	0	376.1454544	0
8200	375.139015	21	13	8	5	0	0	0	376.14687	0
8201	375.139882	25	14	3	5	2	0	0	376.147585	0
8202	375.146408	25	15	6	3	1	0	0	376.15386	0
8203	375.164167	25	15	8	3	0	0	0	376.1717913	0
8204	375.174064	29	13	11	1	0	0	0	376.1817244	0
9875	375.176743	26	16	8	2	0	0	1	398.1663696	0
8205	375.179422	25	19	5	3	0	0	0	376.1871071	0
8206	375.182793	29	16	5	3	1	0	0	376.1902367	0
8207	375.184129	25	17	1	7	1	0	0	376.191407	0
8208	375.186633	25	13	6	7	0	0	0	376.1942947	0
8209	375.189319	29	17	8	1	0	0	0	376.1969604	0
8212	375.215807	29	20	4	3	0	0	0	376.2233289	1
8214	375.219178	33	17	4	3	1	0	0	376.2264528	0
8215	375.219829	29	25	2	1	0	0	0	376.2276551	0
8216	375.225704	33	18	7	1	0	0	0	376.2332269	0
8217	375.231062	29	24	1	3	0	0	0	376.2386209	1
8218	375.24817	33	16	5	5	0	0	0	376.255865	0
8219	375.256214	33	26	1	1	0	0	0	376.2639	1
8220	375.262089	37	19	6	1	0	0	0	376.2697525	0
8223	375.288577	37	22	2	3	0	0	0	376.29639	0
