ID	Mass	R7S1	R7S2	R7S3	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R8S1	R8S2	R8S3	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R9S1	R9S2	R9S3	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15
5497	189.997324	7.42965	0	14.9808	20.63535	9.81575	15.5729	11.7375	7.77445	13.50755	8.71715	6.11995	21.2628	16.1248	14.3215	7.3968	17.74215	9.70765	9.8409	5.5674	13.22235	11.78395	11.664	10.63135	0	6.3302	0	6.2446	13.68465	8.6435	20.55015	12.65735	17.7086	0	0	0	6.00875	17.31345	16.08165	8.27995	10.53135	11.867	18.44305	11.89165	19.05685	13.036
5499	190.022324	6.54885	2.3854	3.17475	7.18775	9.84615	13.3277	7.9272	10.4686	10.86325	3.512	8.712	0	2.52925	1.4697	2.64025	0	2.10725	3.9479	6.46135	9.9375	4.3284	8.47045	3.8386	9.90715	7.00605	11.6368	9.35865	7.1345	1.50055	7.90935	6.39195	0	2.986	8.26965	11.12915	4.89275	5.2272	5.40385	13.2974	6.8676	8.2403	6.04315	10.9805	6.8661	1.7876
5502	190.029024	8.201	0	10.21595	7.91435	13.52095	5.3877	5.2401	9.9726	0	5.2358	10.73215	0	0	5.36635	12.76665	0	5.19305	4.8739	6.14775	4.7121	10.5527	5.72605	10.68035	3.07755	10.43045	10.1713	6.80405	0	11.30445	11.5093	13.00675	3.28765	7.75905	11.2106	10.06185	0	5.0223	5.969	11.052	13.26235	5.5511	5.7665	6.7316	13.5278	12.4843
5503	190.029824	4.44065	4.9289	20.4406	37.54305	19.49185	12.81425	18.4013	0	14.0473	23.36465	9.07125	5.16405	0	0	12.1807	10.4536	14.8107	16.3805	0	27.584	12.309	0	0	29.0695	17.066	9.0905	28.0284	9.141	0	17.91845	19.58405	9.2814	11.1558	19.25785	23.56905	27.6522	0	0	39.0258	0	0	9.02805	32.9313	35.3725	0
5509	190.046624	186.22465	94.15165	162.69195	226.7521	155.3873	189.64525	136.39115	204.0902	275.17085	170.1004	172.3881	81.7826	110.0835	53.2435	339.1999	96.7905	158.35355	183.13045	213.70025	121.6606	129.40745	107.38205	190.5833	253.8167	169.38775	206.99985	203.1328	237.8866	138.42335	359.89695	141.58225	131.8746	197.22435	160.6937	160.3586	164.1564	100.87625	357.96055	254.4137	109.64765	180.6223	165.37995	336.11865	357.0173	185.4883
5511	190.046924	82.0301	50.87915	77.82725	83.29695	53.8586	51.68015	88.97135	79.605	76.96265	76.7927	66.75455	66.7738	86.98805	65.67145	73.11045	74.9269	58.93785	75.7134	75.6129	57.5256	62.39455	84.2022	80.31265	79.6183	82.0138	67.7088	81.74245	73.14325	63.7387	76.7087	103.22015	72.52895	78.98485	70.93025	60.07505	57.0536	90.1982	81.3123	78.8381	81.081	69.4844	73.14895	86.83755	69.7052	68.7743
5514	190.062724	5.17435	5.5448	9.96965	10.74795	12.8949	9.33735	12.1365	3.57845	5.5904	10.4046	10.02755	5.18245	12.54045	4.8988	11.91005	5.37875	12.4933	9.1382	7.449	9.6718	11.60735	13.08395	12.16415	9.7105	11.2367	10.27445	8.45585	2.49155	13.02855	10.97935	13.4617	10.05435	8.35365	13.38985	11.51005	13.18195	12.50045	12.48545	11.21645	11.66765	10.7027	5.32215	7.3732	13.13185	7.83005
5515	190.063124	17.46475	6.4651	14.34535	18.2278	17.725	14.9534	20.41955	18.53455	16.70555	7.6885	18.5991	6.7039	13.25225	8.13445	17.39	15.40615	17.30185	17.8728	15.8126	17.8827	12.95315	19.3294	14.8031	9.7338	6.72005	18.5662	17.2477	9.0831	14.59965	18.64945	18.3947	20.1391	15.82985	19.242	18.43185	16.86995	15.4631	7.3412	19.92635	16.5317	17.378	16.94865	14.81855	7.9309	5.65255
5516	190.063224	316.4502	295.37665	284.38245	335.27085	320.92595	272.80015	298.58665	321.74445	322.5391	286.83815	287.2896	148.39225	352.6444	151.9057	332.3857	309.39975	320.21495	307.693	303.58365	268.5964	313.41425	307.2526	311.0284	284.5441	302.83715	316.07625	312.6164	153.1179	315.05595	335.88665	349.2207	320.20595	318.07795	318.0152	312.207	298.79835	314.898	326.6873	310.19015	315.65665	317.59265	312.26765	330.0822	333.06735	305.70765
5521	190.063624	8.8181	4.6947	10.61745	9.50475	8.8978	6.022	4.54965	9.7242	8.7131	4.5914	8.74325	2.53495	11.15885	3.6327	8.42945	7.33285	7.67335	10.57245	9.34435	9.8675	10.43765	5.3469	9.7169	3.3046	9.20395	11.1052	8.9064	3.9916	7.9974	3.4274	8.9632	9.0273	9.58815	10.35525	9.3771	6.26875	7.5766	9.08505	11.17395	10.5027	8.8751	10.1686	6.4926	13.2889	9.7947
