ID	Mass	R7S1	R7S2	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R7S16	R8S1	R8S2	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R8S16	R9S1	R9S2	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15	R9S16
3124	318,106318	3517298	3233266	3983535	3425878	3755764	4684866	3732196	0	3830457	4218822	0	0	0	3520549	3122999	3642144	3950610	2803024	0	2844336	0	5199024	0	4684854	4315884	4037303	4520762	3429712	0	4503151	0	4837344	2753921	4402348	0	3620602	0	3869776	3186254	0	4900066	0	3656108	0	0
3127	318,114578	0	6334454	0	0	0	4963399	0	0	5310654	6277066	0	0	0	0	4747067	0	0	0	0	0	0	0	5778303	6595642	0	4860604	0	4121940	0	0	0	0	5584773	0	0	0	5103899	0	5022291	0	5018854	0	0	0	0
3132	318,125595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3490624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3315321	0	0	0	3152053	0	0	0	0	0	0	2834155	0	0	0	0
3133	318,13147	3626877	5207038	4337853	4040289	5011202	5971024	4749043	3948576	5298375	4937682	0	0	0	4610099	5000003	3704622	5830687	4431708	0	5549755	0	4912315	4445064	6120514	4992758	3756740	5604167	4031835	0	5926524	4890041	5025771	4516749	5034168	5298524	5638919	3026210	5461085	4269659	3628906	4952302	0	4625848	3531365	3767735
3134	318,142703	4124545	49678340	34925764	3377766	12108552	21118038	6676217	0	3863757	9396183	2918718	5396397	0	0	0	17986356	12281893	33556320	7909784	20580032	21868796	8832193	0	4525128	4905722	10285769	16618316	0	0	0	4375999	7888880	31057810	5984446	5771618	42439436	4759847	0	6935137	10080111	5496052	28415570	0	0	0
3136	318,153936	0	0	2777288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3021587	0	0	0	0	0	0	0	0	0
3137	318,16198	3767177	5599244	5780684	0	2775827	6476896	3314948	3544112	4128983	5251040	0	0	0	4254787	0	7285567	3125295	6160233	4202913	6567625	0	0	3750809	8553554	0	0	0	4090216	5045215	2924172	0	0	5416859	3798216	0	6589208	0	0	5278315	4258681	0	3186267	0	0	4031944
3138	318,167855	0	3749902	3175119	2890353	3909398	3791971	2782727	0	0	3022306	0	0	0	3936326	4421462	3134274	3891250	3557227	0	2922699	0	3463373	0	2899029	2744068	3793621	3002201	0	2909154	4512399	4205003	3025403	3230622	3156170	3449198	3257115	2732338	4277361	0	3455867	2949376	0	0	0	0
3139	318,20424	0	3040287	0	0	3252011	3743862	0	3901510	2910446	4695027	0	0	0	3408985	3813224	3204949	3265605	3753851	0	3940059	0	3576030	3413936	0	0	2947815	0	2977145	0	4011682	0	4122635	3853231	3186909	0	3937070	0	3602564	0	0	3516691	0	0	3675792	2977503
3140	319,002008	0	3179920	2872449	2906077	0	3963422	0	0	0	3511133	0	0	0	4088313	3063033	0	3022308	0	0	2733116	0	0	0	3200510	3162179	0	3745027	4329162	0	0	2801512	0	0	2740844	3654406	3025110	0	2735655	3103771	3093776	2886305	0	4382571	3341422	0
3143	319,020554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2830704	0	0	0	0	0	0	4510799	0	0	0	0	0	3153120	0	0	0	0	0	0	0	0	0
3144	319,030451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3061349	3025269	2854924	0	3494008	2747153	0	0	0	0	0	0	0	0	0	0	0	0	0	3094191	0	0	0	0
3145	319,03619	13692145	18712990	17215122	19895276	20206846	17985072	17017078	10777077	17177260	17713516	4692668	4079895	10790239	17938954	22667530	14386456	21834230	14878950	9767717	16996428	7172734	19957352	15547768	17303056	17229904	17325178	17376532	12076760	7676337	21383254	19683192	19390846	18094388	20212348	18737942	18769128	12427942	21157432	17998892	14125344	19138226	7389146	17704828	14650498	12197797
