ID	Mass	RT
1927	129,078124	1,1905
1930	129,078724	1,5679
1934	129,079324	1,0957
1935	129,079424	4,2619
1940	129,081124	3,6755
1946	129,114724	6,6963
1948	129,115424	6,5042
1953	129,134524	5,0586
1988	129,988524	3,1743
1996	130,012624	1,2573
1998	130,026124	1,3619
2000	130,026924	3,9164
2001	130,027024	7,2567
2004	130,027424	4,28
2011	130,042324	2,5963
2015	130,044224	1,3814
2016	130,045324	1,2631
2020	130,053624	5,6222
2025	130,063624	4,3869
2029	130,063824	1,8995
2030	130,065724	5,0655
2035	130,070824	3,8977
2038	130,078424	6,3561
2039	130,078624	6,1559
2041	130,078724	8,8624
2045	130,082724	1,1902
2050	130,119124	6,6965
2092	131,037724	5,1024
2094	131,037824	5,6018
2095	131,038324	1,8712
2102	131,058524	1,0531
2106	131,074424	5,6124
2110	131,075224	5,101
2115	131,082024	5,3051
2116	131,084624	6,3582
2118	131,090724	7,2045
2119	131,092324	6,1675
2120	131,092824	5,7278
2121	131,094024	5,979
2125	131,094524	7,4594
2127	131,094724	1,7165
2129	131,094724	3,5102
2128	131,094724	4,1907
2142	131,095324	5,1769
2147	131,099724	1,2224
2149	131,105024	1,1824
2151	131,120824	6,696
2167	132,040224	1,2642
2168	132,041024	1,6971
2169	132,042624	1,4589
2170	132,043624	5,0272
2172	132,044724	3,494
2173	132,045524	1,1162
2175	132,046824	2,1199
2176	132,047724	5,8018
2182	132,053224	1,427
2181	132,053224	4,6837
2184	132,053724	1,2358
2193	132,057324	4,5701
2194	132,057724	4,8019
2198	132,060924	3,923
2203	132,079324	4,7403
2211	132,093224	4,2356
2212	132,093524	5,6767
2215	132,093724	5,2667
2216	132,093824	7,168
2217	132,094024	6,3734
2220	132,094224	6,8811
2221	132,094424	6,6977
2223	132,094524	8,7332
2230	132,097724	1,7194
2236	133,037424	6,0552
2237	133,037924	5,3013
2242	133,048824	1,2657
2247	133,051424	4,3381
2253	133,073024	1,0625
2257	133,097824	6,7007
2258	133,097924	6,8816
2260	134,021624	1,1703
2261	134,023324	1,5613
2262	134,023724	1,2618
2263	134,023824	2,2037
2269	134,036924	3,7918
2273	134,037024	6,3589
2274	134,037024	6,711
2276	134,037224	3,5938
2277	134,037224	6,2042
2278	134,037424	7,1774
2280	134,037524	4,9539
2291	134,056824	3,3422
2295	134,058324	1,1046
2302	134,073424	4,3293
2301	134,073424	6,1641
2303	134,073524	6,3598
2307	134,073824	8,3478
2313	134,109224	5,6802
2316	134,109624	11,5037
2320	134,109924	5,2564
2322	134,110324	5,1939
2321	134,110324	9,5815
2324	135,007224	1,2572
2325	135,007324	1,4051
2327	135,031024	1,1801
2328	135,032924	3,4407
2332	135,041724	3,789
2333	135,052824	1,1707
2334	135,054124	1,5181
2335	135,054324	3,993
2339	135,055224	2,1056
2340	135,055624	1,8643
2341	135,057724	3,7441
2342	135,057924	1,2569
2344	135,059024	3,4553
2345	135,060024	5,6975
2346	135,060524	1,7007
2348	135,063124	3,6184
2353	135,068124	4,1396
2360	135,068624	4,8001
2359	135,068624	4,9412
2358	135,068624	10,7882
2362	135,068724	4,4164
2363	135,068724	6,1072
2367	135,068824	3,8743
2364	135,068824	5,3481
2365	135,068824	5,4102
2366	135,068824	6,9069
2368	135,068824	8,224
2371	135,068924	5,9075
2370	135,068924	6,6377
2378	135,073524	1,6754
2391	136,016724	2,8242
